window,classical_l2,classical_turnover,shrink_l2,shrink_turnover,bootstrap_l2,bootstrap_turnover,parametric_l2,parametric_turnover,unified_l2,unified_turnover,1N_l2,1N_turnover
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07650079496769045,0.20949280706964857,0.07724351410655399,0.20827692952026167,0.06313497098941753,0.19115796597476664,0.05140472358053198,0.15530007209671273,0.06242930157308735,0.18352104912776743,0.0,0.0
2,0.09707753902231998,0.2532991579006358,0.09660246169643244,0.2505212405729318,0.053528326625145325,0.1652539169546119,0.07380659459494865,0.22330246649991262,0.07203900722838881,0.20948066705664495,0.0,0.0
3,0.0451446980526432,0.13440066001958112,0.045388502902400464,0.1345515165093907,0.026015870375823133,0.09223530197354095,0.04047583856926397,0.1304510421532042,0.03350909196947596,0.11422483165686964,0.0,0.0
4,0.13625374597695916,0.37347943428137054,0.13031883212378806,0.36178726436024916,0.07031055736171463,0.21215581680743126,0.08536254015734147,0.25121065732239906,0.09385083908711195,0.2733830970697952,0.0,0.0
5,0.06352493405521056,0.15823507744328696,0.059789811000564484,0.15607336584641984,0.03423290000042027,0.11960769499262494,0.04933791608918627,0.14522024186180346,0.04549825661802487,0.13801404453177102,0.0,0.0
6,0.08036699909816432,0.2259976708248518,0.07457039329833512,0.21211963304950904,0.04355166166398899,0.14146786890527044,0.05568919591897995,0.16968276863018264,0.05605475743767854,0.16983666463247646,0.0,0.0
7,0.105908193690181,0.2783291869004036,0.09834109427953566,0.26634988580977453,0.05510754241615524,0.17982354729301786,0.06812641459016168,0.200298433702548,0.07141255342904222,0.21012571733186486,0.0,0.0
8,0.09296059745225939,0.26287367795242794,0.09016692403112878,0.26172201702382153,0.04026982353015894,0.1403931565557502,0.05896116395705296,0.17881397964844575,0.06154731698619759,0.1875566292501784,0.0,0.0
9,0.05480267701239248,0.16188521820226376,0.05347087398181623,0.1561587558301701,0.03320689180890224,0.1190941104797476,0.037335000873683646,0.12139615936858149,0.038667033128463695,0.1268939506081676,0.0,0.0
10,0.13744502541477022,0.40214380497504143,0.12769272238075963,0.38771717085937396,0.0743201938092237,0.2572588449467244,0.08746425512690154,0.271080038830674,0.09495103098900672,0.30224517242060633,0.0,0.0
11,0.13721013969651275,0.41199978512839436,0.13001019071709619,0.3947709810559889,0.07057338637980604,0.23081818072667534,0.09511240557124515,0.303453998825621,0.09675251917106245,0.3089453542626694,0.0,0.0
12,0.08052181410432759,0.19773412247027952,0.0793673991455899,0.1962474383403409,0.047735936860253986,0.18110087517776785,0.05262302568003364,0.17676172125777653,0.056169316196268415,0.17712588060705198,0.0,0.0
13,0.226265000676429,0.49186496400873975,0.19812554805622662,0.4509131161606567,0.09549109442206848,0.27568751443211914,0.14162815231478332,0.36164571381966737,0.1431331071895098,0.35544197979812964,0.0,0.0
