Weights,Sharpe,Turnover
"(1/3, 1/3, 1/3) Equal",0.5578578944358017,0.10586495079445125
"(0.4, 0.3, 0.3)",0.5573002463954873,0.10877218351438964
"(0.5, 0.25, 0.25)",0.5563947569795574,0.11316009736661098
"(0.6, 0.2, 0.2)",0.5554097394462563,0.11759390600406225
