method,AnnRet,AnnVol,Sharpe,N
classical,0.15405378435834727,0.24057429403740635,0.5572240579325833,1743
shrink,0.15345744684051643,0.24232059902060646,0.5507474287343468,1743
bootstrap,0.14546703933947122,0.2258912088357111,0.5554312626223847,1743
parametric,0.14945354963556037,0.22940788074736515,0.5642942570815885,1743
unified,0.1494593452718493,0.23206509500556596,0.5578578944333977,1743
1N,0.1482362380936895,0.2214063634504507,0.5791894871251464,1743
