method,mean_weight,median_weight,p90_weight,max_weight,effective_N
classical,0.05,0.004967563210500601,0.1607277194351052,0.3768948251119169,11.187548250222166
shrink,0.05,0.006139524205157635,0.163068773897323,0.3486758334555921,11.591272038990038
bootstrap,0.05,0.03953996883262301,0.10829415402979826,0.21333615198533268,15.235664010808389
parametric,0.05,0.027828740646394054,0.12288983044793313,0.2638224074740023,14.120647032811537
unified,0.05,0.02503186061939906,0.13149383771398004,0.2737983043307852,13.74386596528363
1N,0.05,0.05,0.05,0.05,20.00000000000007
