Configuration,Sharpe,Turnover,L2 Distance
Shrink + Bootstrap (2-axis),0.5545097208876595,0.1104523653898844,0.0029083567369684394
Shrink + Parametric (2-axis),0.5581935666767648,0.11749031315257752,0.00771466617556013
Bootstrap + Parametric (2-axis),0.5600526776077922,0.09172962384399562,0.009864829447735358
"Unified (all three, 3-axis)",0.5578578944358017,0.10586495079455711,0.0
