date,daily_return,cum
2016-01-05,0.0007741131578410134,1.000774113157841
2016-01-06,-0.007847154562121351,0.9929208840101214
2016-01-07,-0.01167132451319694,0.9813321821569089
2016-01-08,-0.012466457712036194,0.9690984460065897
2016-01-11,0.003566311064523055,0.972554552517195
2016-01-12,0.004505515377160178,0.9769364120086884
2016-01-13,-0.014160784727999736,0.9631022257852889
2016-01-14,0.010250689189564432,0.9729746873595916
2016-01-15,-0.0203205002845341,0.9532033549482565
2016-01-19,0.01184967452964445,0.9644985044649583
2016-01-20,-0.012009822450212145,0.952915048672839
2016-01-21,0.00916474352170712,0.9616482706919006
2016-01-22,0.012259599116482865,0.9734376929816423
2016-01-25,-0.008089287951033442,0.965563275180724
2016-01-26,0.030255024881282924,0.9947764160957699
2016-01-27,-0.0005316369410561455,0.9942475562048819
2016-01-28,0.006185066657500498,1.0003970436140661
2016-01-29,0.02335183927775168,1.0237581545904797
2016-02-01,-0.004030539642104677,1.0196318567644749
2016-02-02,-0.011935164616291483,1.0074623827059759
2016-02-03,0.009831174699616802,1.0173669213936505
2016-02-04,-0.005591028390341101,1.0116787940527447
2016-02-05,-0.016320565648311525,0.9951676238794023
2016-02-08,0.0049479658026788656,1.0000916792502905
2016-02-09,0.001964766012078332,1.0020566253906438
2016-02-10,-0.007271892779934912,0.9947697770513796
2016-02-11,-0.010338531327296735,0.9844853185478859
2016-02-12,0.010912763425388765,0.9952287739249674
2016-02-16,0.009793453422664208,1.004975500567297
2016-02-17,0.010910015393793169,1.015939798748871
2016-02-18,0.0009507616559780506,1.0169057153543035
2016-02-19,0.002691537962887027,1.0196427556918566
2016-02-22,0.007288273321319131,1.027074190785442
2016-02-23,-0.0031925969799443915,1.0237951568257615
2016-02-24,0.0024087784815864047,1.026261252569076
2016-02-25,0.011145959212700268,1.0376999186317857
2016-02-26,-0.009550090461854547,1.0277897905365931
2016-02-29,-0.008882835795706869,1.0186601025947526
2016-03-01,0.015649308188592757,1.0346014284796814
2016-03-02,0.006205722804870372,1.0410218781583493
2016-03-03,0.0023466341293210315,1.0434647756270057
2016-03-04,0.001414304951280472,1.0449405530256617
2016-03-07,-0.00027953712091748653,1.0446484533519391
2016-03-08,-0.0017673466107141957,1.0428021974485198
2016-03-09,0.0007104390672773458,1.04354304486903
2016-03-10,-0.0031641000683724275,1.0402411702494103
2016-03-11,0.0023443799367771374,1.0426798907783525
2016-03-14,-0.0024658937958729294,1.0401087529046007
2016-03-15,0.0014893658112687246,1.0416578553211782
2016-03-16,-0.0002327409621566862,1.0414154188696927
2016-03-17,0.006668445766714146,1.0483600411110452
2016-03-18,0.005101479811829371,1.0537082286963018
2016-03-21,-0.0005974713002579359,1.0530786682708102
2016-03-22,-0.0036431790498519857,1.04924211412872
2016-03-23,0.0036235646705185826,1.053044110784297
2016-03-24,5.929150963442387e-05,1.053106547359337
2016-03-28,-0.0006138602041600532,1.0524600871591727
2016-03-29,0.005301865400401538,1.0580400888805856
2016-03-30,0.00012948339993575398,1.058177087508562
2016-03-31,-0.004309907741306715,1.0536164418874356
2016-04-01,0.010988173525223573,1.0651937621799235
2016-04-04,-0.0039716417652039425,1.060963194146015
2016-04-05,-0.0008205385889309188,1.0600926329037828
2016-04-06,0.006234887439179221,1.0667021911450412
2016-04-07,-0.005854602388494725,1.0604570739489507
2016-04-08,-0.0010307488152809302,1.0593640090763214
2016-04-11,-0.003477340122690779,1.0556802401030259
2016-04-12,0.004540454537512536,1.060473508239364
2016-04-13,0.00020464367803002694,1.0606905274385434
2016-04-14,0.0009473264650493894,1.0616953476464133
2016-04-15,0.0030257398299707652,1.0649077615470817
2016-04-18,0.008653256260077648,1.0741226813010942
2016-04-19,0.008172526024068174,1.0829009768670692
2016-04-20,-0.005397982671901292,1.077055496158556
2016-04-21,-0.004985693981587434,1.0716856270535224
2016-04-22,0.0016173485214323873,1.0734189162178778
2016-04-25,0.00356387532982164,1.0772444474119507
2016-04-26,-0.012150917846368485,1.0641549386309914
2016-04-27,0.0016884221766469633,1.0659516814287644
2016-04-28,-0.0049576498305644486,1.0606670662559392
2016-04-29,0.0011875971353574664,1.0619267114253927
2016-05-02,0.009168353057532493,1.071662830436965
2016-05-03,-0.0010139975286548807,1.0705761669753509
2016-05-04,0.001608155920443524,1.072297820376558
2016-05-05,0.0009263502936241692,1.0732911437773163
2016-05-06,0.004867531861607666,1.0785154226164335
2016-05-09,0.003813577984924044,1.0826284252885245
2016-05-10,0.006868742771966543,1.0900647214594505
2016-05-11,-0.008456655828535905,1.080846419279239
2016-05-12,0.00015058642593851736,1.0810091800785069
2016-05-13,-0.0099284242861424,1.0702764622814727
2016-05-16,0.007319947848615535,1.0781108301689737
2016-05-17,-0.010650981418754606,1.0666278917494858
2016-05-18,-0.005089770726462284,1.0611990003300311
2016-05-19,-0.0013414147796330831,1.0597754923068565
2016-05-20,0.002344867130365839,1.0622605250243342
2016-05-23,-0.0016425885317076015,1.0605156680682435
2016-05-24,0.008332863498576324,1.0693528003683577
2016-05-25,0.005011615174551364,1.0747119850896327
2016-05-26,-0.0021320903587197593,1.0724206020278226
2016-05-27,0.002034296829600912,1.0746022238585267
2016-05-31,-0.004871242434026793,1.0693675759059673
2016-06-01,0.0037441388620748275,1.0733714366047598
2016-06-02,0.00746219226657028,1.0813811406381493
2016-06-03,0.0031584748495982187,1.0847966557736848
2016-06-06,0.003122384287309692,1.0881838078065986
2016-06-07,-0.002292536815606671,1.085689106365055
2016-06-08,0.0024545806441784563,1.088354017831134
2016-06-09,0.006417704299317516,1.0953387520905482
2016-06-10,-0.0009280363111481918,1.0943222379556004
2016-06-13,-0.004772753260884037,1.08909930792594
2016-06-14,0.002684214789545102,1.092022684395558
2016-06-15,-0.003172135135446576,1.0885586408696821
2016-06-16,0.004215429296359378,1.0931473828552094
2016-06-17,-0.005607978496841845,1.0870170358382785
2016-06-20,0.00416584269514239,1.0915453778165205
2016-06-21,0.00029641363577059403,1.0918689267505677
2016-06-22,0.0014818786672477066,1.09348694402055
2016-06-23,0.0072494796475713235,1.1014141553661119
2016-06-24,-0.01907360801454738,1.0804062135049848
2016-06-27,-0.004067931677652123,1.0760111948443358
2016-06-28,0.015605641887626854,1.092803040218154
2016-06-29,0.011541388936984065,1.1054155051368304
2016-06-30,0.01096097265529228,1.1175319342613714
