,Shrinkage,Bootstrap,Parametric
Shrinkage,1.0,0.9323654461561469,0.9751378983709341
Bootstrap,0.9323654461561469,1.0,0.9771800749022856
Parametric,0.9751378983709341,0.9771800749022856,1.0
