AAPL,MSFT,GOOGL,AMZN,NVDA,JPM,V,UNH,JNJ,PG,BAC,HD,DIS,MA,ADBE,NFLX,XOM,CSCO,INTC,CRM
0.006343764690503465,-6.292883306020724e-18,0.005641856599652363,1.348200251887962e-18,5.301493456532832e-18,4.6288036449234875e-18,-2.718622354689873e-18,-2.4706641202882496e-18,0.3537279137276187,0.43621499723630885,8.28612784171432e-18,0.046865243999052814,0.09664179654356372,-1.4834067332491938e-20,0.026520059855646788,1.4557121539372235e-17,0.023895246905412,-9.608235203612784e-20,0.004149120442241104,2.0196952796129183e-18
-1.0689207116339047e-18,-3.118540332561626e-18,-3.432830333567686e-19,2.098887665328559e-18,1.9433670201889357e-20,1.5093413883567199e-18,-3.008143965370626e-19,0.01967222356867437,0.32672311440275054,0.4505967899878458,1.124151127134099e-18,0.11489879807674092,0.060276847726390234,1.1609650317956693e-18,0.027832226237598165,1.2488982328282846e-18,-4.680230885466061e-18,-2.398104841472283e-18,-1.8516435143235352e-18,1.985668377751379e-18
-1.9552550368479482e-19,-1.3393367880104435e-18,-2.010387067332657e-19,3.1242850423951176e-18,2.769503449080019e-18,-3.984503085710162e-19,7.812532148105135e-19,0.017432751901482472,0.3497141612833963,0.4519960609162843,7.86017246141219e-19,0.11579895087446762,0.06505807502436918,1.1363032170099057e-18,3.2818792052755733e-18,3.475862886414605e-18,-4.2802999928696714e-18,-1.4070603998499704e-19,-1.4656488580592975e-18,5.12894762048237e-18
1.6307912670961942e-19,-1.0363746845056073e-18,-1.3458274554397857e-19,2.455416368227798e-18,2.111224553990099e-18,-5.209714423500788e-19,7.47150731569224e-19,0.024144278683650388,0.3637184454913374,0.4392428082327917,1.1677698580038384e-18,0.10840357178210515,0.06449089581011538,6.0304237994632245e-19,2.532248818500099e-18,4.184186374101366e-18,-4.02584648557038e-18,-1.7009997075324576e-19,-1.179132403992137e-18,4.287640700612562e-18
5.691601707223246e-19,-8.236080881569394e-19,-1.8106492283542881e-19,1.5673422049755165e-18,1.2457051719363312e-18,-3.573847943625146e-19,1.3205369672980983e-18,0.040780004577401836,0.376989319536514,0.41073412550847443,1.818050251334786e-18,0.11895398373268716,0.05254256664492227,-1.47076288733831e-19,2.0594416554889315e-18,6.853748521696375e-18,-4.206454106561945e-18,-1.3995739741857011e-18,-1.6697454908398872e-18,3.5813965678464515e-18
5.949425929192711e-19,-6.325486713075571e-19,2.1546112588637925e-19,5.1017939986568425e-19,-1.3549858101461248e-18,-7.977043804353649e-19,1.7258971699002466e-18,0.038272933222302984,0.40289533117397014,0.402553127724705,1.5536955713708403e-18,0.1159062786422355,0.04037232923678633,-7.798439185037394e-19,1.7234217857987461e-18,8.787245066497813e-18,-4.685552315870098e-18,-2.007567056264608e-18,-2.2046930435289694e-18,1.9775729188481903e-18
8.107054801820155e-19,2.1096488560003865e-19,1.0476481102672749e-19,2.783941686769996e-19,-1.4547727696944918e-18,2.3199498537391266e-19,2.5081508269054018e-18,0.034615981159363526,0.41468855691073336,0.3917805915738726,3.65722608904945e-18,0.1283991326084684,0.030515737747561927,5.942299887617923e-20,1.281330384754137e-18,9.121378206787409e-18,-4.5274196089264145e-18,-1.8476990323123793e-18,-1.8894894904901835e-18,2.2078251333036756e-18
1.0045452187969437e-18,-1.332505725181397e-19,-6.473231821931152e-19,1.3926552973929923e-18,1.3899302635999636e-18,2.7155200877547023e-19,2.0165164687401514e-18,0.03773155434174663,0.389446983883061,0.42523523236199057,3.187969842371815e-18,0.1171152348304654,0.03047099458273616,8.377039626283103e-19,2.4848431834417333e-18,8.346130413241762e-18,-4.402773960559229e-18,-9.644140177823486e-19,-1.474634658985741e-18,3.956607221800894e-18
0.030339927133596487,-1.1631331608431584e-18,-4.966526835879889e-18,-2.114420544710912e-18,9.747701986168577e-19,4.835334490062017e-18,4.712361423787636e-18,0.05946182279295542,0.3644224333699666,0.3853065817858464,1.1120627552489184e-17,0.11850259827996774,0.011186895710162185,2.5168037507793188e-18,2.1650297425617036e-18,8.39027979895394e-18,0.030779740927505378,9.937756523395553e-19,-6.03691438239804e-19,4.441719178519317e-18
0.022027978082799264,1.7338206333720653e-19,-6.455274030931289e-18,-5.534803381753553e-18,-2.804023689790814e-19,4.435426839179566e-18,5.057253309602158e-18,0.07816989043615089,0.3816386880069659,0.341571285647174,1.3029445157325723e-17,0.11421858809917589,0.02954888285773669,1.5518983722574796e-18,-1.844185169693824e-19,1.3835626028299362e-17,0.03282468686999742,-6.101773568218114e-19,-8.708465287683147e-19,1.6240878098542772e-18
