method,AnnRet,AnnVol,Sharpe,N
classical,0.1367717741342858,0.24057444398573405,0.48538727638387436,1743
shrink,0.13658259045032872,0.2423206574782674,0.4811087575573426,1743
bootstrap,0.13448141390524887,0.2258911878994248,0.5067989369984343,1743
parametric,0.13690023174654947,0.22940891701048458,0.5095714380653183,1743
unified,0.13628107211992926,0.23206568571075759,0.5010696508761695,1743
1N,0.1482362380936895,0.2214063634504507,0.5791894871251464,1743
